Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,index,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Over18,OverTime
26.0,633.0,6.0,1.0,1.0,2095.0,3.0,101.0,3.0,1.0,4.0,4086.0,26907.0,1.0,19.0,3.0,3.0,80.0,0.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,416,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,Yes
26.0,367.0,10.0,2.0,1.0,2096.0,1.0,54.0,2.0,1.0,3.0,3657.0,26263.0,1.0,21.0,4.0,3.0,80.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1248,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,Yes,No
36.0,1316.0,7.0,2.0,1.0,2097.0,4.0,46.0,3.0,2.0,3.0,6574.0,19619.0,1.0,21.0,4.0,3.0,80.0,2.0,10.0,2.0,3.0,9.0,7.0,2.0,7.0,847,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Single,Yes,No
28.0,1126.0,9.0,3.0,1.0,2098.0,3.0,67.0,2.0,1.0,2.0,3717.0,27405.0,1.0,13.0,3.0,3.0,80.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,1222,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,Yes,No
48.0,744.0,9.0,2.0,1.0,2099.0,3.0,71.0,2.0,3.0,4.0,9761.0,15498.0,1.0,17.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,7.0,4.0,7.0,1304,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Divorced,Yes,No
35.0,732.0,7.0,4.0,1.0,2100.0,4.0,57.0,3.0,2.0,4.0,6528.0,11760.0,3.0,22.0,4.0,4.0,80.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0,337,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,Yes,No
36.0,958.0,7.0,3.0,1.0,2101.0,4.0,95.0,2.0,2.0,3.0,6152.0,18613.0,1.0,15.0,3.0,3.0,80.0,1.0,13.0,3.0,2.0,13.0,7.0,4.0,7.0,207,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,Yes,No
59.0,1288.0,6.0,3.0,1.0,2102.0,3.0,47.0,2.0,3.0,2.0,10575.0,11509.0,2.0,14.0,3.0,4.0,80.0,1.0,23.0,3.0,3.0,6.0,0.0,0.0,4.0,1318,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,No
41.0,761.0,22.0,4.0,1.0,2103.0,4.0,87.0,3.0,2.0,4.0,6380.0,20372.0,8.0,15.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,3.0,2.0,1.0,2.0,879,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,Yes,Yes
39.0,528.0,3.0,4.0,1.0,2104.0,3.0,61.0,3.0,2.0,2.0,6087.0,5138.0,8.0,13.0,3.0,4.0,80.0,0.0,18.0,2.0,3.0,15.0,13.0,4.0,11.0,85,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Yes,No
36.0,478.0,24.0,4.0,1.0,2105.0,1.0,92.0,3.0,1.0,4.0,3805.0,19561.0,1.0,24.0,4.0,3.0,80.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,920,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Divorced,Yes,No
30.0,568.0,4.0,3.0,1.0,2106.0,1.0,93.0,3.0,1.0,4.0,3164.0,13235.0,1.0,22.0,4.0,1.0,80.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,182,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,Yes,Yes
36.0,817.0,21.0,2.0,1.0,2107.0,3.0,99.0,3.0,2.0,2.0,6730.0,17230.0,0.0,14.0,3.0,1.0,80.0,1.0,9.0,2.0,4.0,7.0,7.0,0.0,7.0,1374,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,Yes,Yes
44.0,636.0,7.0,2.0,1.0,2108.0,4.0,51.0,3.0,2.0,3.0,5732.0,24482.0,6.0,15.0,3.0,2.0,80.0,0.0,9.0,5.0,3.0,3.0,2.0,2.0,1.0,441,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Married,Yes,No
36.0,618.0,3.0,3.0,1.0,2109.0,4.0,84.0,3.0,1.0,1.0,3494.0,13377.0,1.0,15.0,3.0,4.0,80.0,0.0,5.0,4.0,3.0,4.0,2.0,1.0,2.0,1148,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,No
28.0,874.0,2.0,3.0,1.0,2110.0,2.0,68.0,3.0,1.0,4.0,3367.0,5778.0,2.0,17.0,3.0,1.0,80.0,1.0,7.0,2.0,2.0,3.0,0.0,2.0,0.0,1192,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,Yes,Yes
47.0,1019.0,2.0,4.0,1.0,2111.0,4.0,95.0,3.0,1.0,4.0,3347.0,13117.0,3.0,15.0,3.0,4.0,80.0,1.0,9.0,2.0,3.0,5.0,3.0,0.0,2.0,194,Non-Travel,Research & Development,Medical,Male,Manager,Married,Yes,No
44.0,949.0,7.0,3.0,1.0,2112.0,4.0,81.0,3.0,3.0,4.0,13228.0,16489.0,3.0,19.0,3.0,3.0,80.0,0.0,16.0,3.0,3.0,2.0,0.0,0.0,0.0,697,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Married,Yes,No
56.0,262.0,18.0,4.0,1.0,2113.0,3.0,69.0,3.0,2.0,2.0,6938.0,14943.0,3.0,15.0,3.0,4.0,80.0,1.0,17.0,3.0,3.0,8.0,7.0,5.0,7.0,835,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Single,Yes,No
36.0,1323.0,7.0,3.0,1.0,2114.0,2.0,103.0,4.0,1.0,2.0,3804.0,26956.0,1.0,21.0,4.0,3.0,80.0,0.0,6.0,3.0,1.0,5.0,1.0,0.0,3.0,367,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,Yes,No
24.0,617.0,21.0,1.0,1.0,2115.0,4.0,59.0,3.0,1.0,3.0,2828.0,27652.0,1.0,20.0,3.0,4.0,80.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1462,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,No
55.0,544.0,3.0,3.0,1.0,2116.0,4.0,49.0,4.0,3.0,2.0,15852.0,21167.0,4.0,13.0,3.0,2.0,80.0,0.0,33.0,2.0,2.0,9.0,7.0,7.0,7.0,639,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,Yes,No
37.0,725.0,11.0,3.0,1.0,2117.0,3.0,64.0,2.0,2.0,2.0,5284.0,23069.0,4.0,13.0,3.0,4.0,80.0,1.0,14.0,4.0,4.0,10.0,8.0,1.0,7.0,729,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Divorced,Yes,Yes
31.0,1413.0,4.0,1.0,1.0,2118.0,4.0,77.0,4.0,2.0,4.0,5421.0,18326.0,1.0,21.0,4.0,2.0,80.0,1.0,7.0,3.0,3.0,6.0,5.0,0.0,4.0,942,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Married,Yes,No
35.0,614.0,7.0,4.0,1.0,2119.0,1.0,73.0,4.0,2.0,4.0,6131.0,8718.0,4.0,22.0,4.0,4.0,80.0,1.0,13.0,4.0,4.0,7.0,7.0,4.0,7.0,69,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,Yes
38.0,714.0,5.0,4.0,1.0,2120.0,4.0,56.0,2.0,1.0,4.0,3439.0,27392.0,1.0,14.0,3.0,2.0,80.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,505,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,Yes
36.0,1059.0,3.0,4.0,1.0,2121.0,1.0,80.0,4.0,2.0,4.0,5777.0,12705.0,6.0,17.0,3.0,3.0,80.0,0.0,10.0,0.0,2.0,7.0,7.0,0.0,7.0,774,Non-Travel,Research & Development,Medical,Male,Manager,Single,Yes,No
40.0,644.0,3.0,3.0,1.0,2122.0,4.0,81.0,3.0,2.0,3.0,9746.0,5769.0,4.0,13.0,3.0,3.0,80.0,1.0,17.0,3.0,2.0,4.0,0.0,1.0,0.0,157,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,Yes
40.0,672.0,9.0,2.0,1.0,2123.0,2.0,55.0,2.0,2.0,2.0,5022.0,11090.0,1.0,15.0,3.0,1.0,80.0,1.0,6.0,2.0,3.0,5.0,2.0,0.0,3.0,1309,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,Yes,No
31.0,689.0,2.0,2.0,1.0,2124.0,3.0,75.0,3.0,3.0,1.0,7835.0,8525.0,1.0,13.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,7.0,0.0,7.0,87,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,No
47.0,1001.0,3.0,2.0,1.0,2125.0,2.0,55.0,1.0,2.0,3.0,7154.0,14388.0,0.0,14.0,3.0,1.0,80.0,0.0,10.0,3.0,3.0,8.0,7.0,3.0,1.0,67,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,No
36.0,686.0,8.0,3.0,1.0,2126.0,3.0,64.0,4.0,2.0,4.0,6785.0,13749.0,1.0,16.0,3.0,3.0,80.0,1.0,10.0,4.0,4.0,10.0,7.0,0.0,7.0,105,Non-Travel,Human Resources,Human Resources,Female,Manager,Married,Yes,No
39.0,1250.0,8.0,4.0,1.0,2127.0,1.0,89.0,3.0,2.0,4.0,5798.0,26854.0,4.0,14.0,3.0,4.0,80.0,1.0,12.0,3.0,3.0,7.0,7.0,0.0,7.0,1009,Travel_Rarely,Research & Development,Medical,Female,Research Director,Married,Yes,Yes
47.0,636.0,8.0,4.0,1.0,2128.0,4.0,81.0,3.0,2.0,4.0,4592.0,11530.0,8.0,15.0,3.0,1.0,80.0,1.0,12.0,3.0,3.0,10.0,8.0,8.0,7.0,488,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,Yes,No
45.0,1171.0,8.0,3.0,1.0,2129.0,4.0,86.0,3.0,1.0,3.0,4829.0,15524.0,4.0,14.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,1.0,0.0,0.0,0.0,1268,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Married,Yes,Yes
47.0,1258.0,2.0,1.0,1.0,2130.0,3.0,80.0,2.0,3.0,3.0,10746.0,6123.0,3.0,23.0,4.0,4.0,80.0,1.0,24.0,3.0,2.0,22.0,14.0,12.0,4.0,1164,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Yes,Yes
37.0,1185.0,6.0,2.0,1.0,2131.0,2.0,65.0,2.0,2.0,4.0,4844.0,13951.0,1.0,15.0,3.0,3.0,80.0,1.0,15.0,3.0,4.0,14.0,9.0,4.0,12.0,1244,Travel_Frequently,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,No
54.0,428.0,4.0,3.0,1.0,2132.0,4.0,49.0,2.0,3.0,3.0,8321.0,21025.0,2.0,15.0,3.0,3.0,80.0,0.0,26.0,4.0,3.0,5.0,4.0,0.0,4.0,489,Travel_Rarely,Research & Development,Other,Male,Research Director,Divorced,Yes,Yes
49.0,789.0,26.0,2.0,1.0,2133.0,2.0,83.0,4.0,2.0,3.0,6949.0,12505.0,4.0,13.0,3.0,4.0,80.0,0.0,9.0,2.0,3.0,5.0,4.0,1.0,3.0,90,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Yes,No
32.0,664.0,26.0,3.0,1.0,2134.0,2.0,49.0,1.0,2.0,1.0,5622.0,21807.0,0.0,22.0,4.0,2.0,80.0,1.0,7.0,4.0,2.0,5.0,3.0,0.0,0.0,384,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,Yes,No
52.0,1451.0,11.0,3.0,1.0,2135.0,3.0,61.0,3.0,4.0,2.0,18757.0,18676.0,3.0,16.0,3.0,2.0,80.0,0.0,20.0,4.0,3.0,5.0,4.0,4.0,4.0,588,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,No
42.0,1492.0,20.0,4.0,1.0,2136.0,1.0,53.0,2.0,2.0,4.0,6707.0,6281.0,3.0,13.0,3.0,4.0,80.0,1.0,9.0,2.0,4.0,5.0,4.0,1.0,4.0,855,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,Yes,No
48.0,292.0,5.0,2.0,1.0,2137.0,4.0,43.0,2.0,4.0,2.0,17764.0,12144.0,2.0,15.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,11.0,4.0,0.0,7.0,586,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Yes,No
38.0,1234.0,8.0,2.0,1.0,2138.0,3.0,84.0,2.0,3.0,4.0,10422.0,15644.0,4.0,13.0,3.0,2.0,80.0,1.0,16.0,5.0,2.0,13.0,2.0,4.0,11.0,719,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,Yes
33.0,814.0,23.0,3.0,1.0,2139.0,3.0,54.0,4.0,1.0,1.0,2318.0,12783.0,1.0,18.0,3.0,4.0,80.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,433,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,Yes
38.0,1377.0,26.0,4.0,1.0,2140.0,4.0,58.0,3.0,2.0,3.0,7373.0,7737.0,2.0,17.0,3.0,2.0,80.0,1.0,17.0,3.0,3.0,7.0,7.0,0.0,7.0,1264,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,No
40.0,1246.0,10.0,2.0,1.0,2141.0,4.0,85.0,4.0,1.0,4.0,5450.0,17002.0,3.0,18.0,3.0,1.0,80.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,1373,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,Yes,Yes
47.0,626.0,2.0,4.0,1.0,2142.0,1.0,73.0,3.0,3.0,2.0,7860.0,22242.0,1.0,13.0,3.0,1.0,80.0,2.0,10.0,4.0,3.0,10.0,7.0,6.0,7.0,1100,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,Yes,No
38.0,1327.0,21.0,3.0,1.0,2143.0,2.0,77.0,4.0,3.0,2.0,11835.0,20557.0,6.0,19.0,3.0,2.0,80.0,1.0,10.0,5.0,2.0,7.0,7.0,5.0,2.0,1181,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,Yes,Yes
44.0,424.0,2.0,3.0,1.0,2144.0,4.0,67.0,2.0,4.0,3.0,18113.0,20982.0,1.0,13.0,3.0,2.0,80.0,1.0,21.0,3.0,3.0,21.0,7.0,2.0,9.0,1130,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,No
35.0,1144.0,6.0,4.0,1.0,2145.0,1.0,74.0,3.0,2.0,4.0,6145.0,23764.0,1.0,13.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,0.0,0.0,2.0,577,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Yes,Yes
54.0,431.0,27.0,2.0,1.0,2146.0,4.0,67.0,4.0,3.0,3.0,12927.0,11946.0,2.0,13.0,3.0,2.0,80.0,1.0,23.0,3.0,2.0,5.0,3.0,0.0,2.0,1032,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,Yes
57.0,742.0,2.0,4.0,1.0,2147.0,3.0,65.0,3.0,2.0,3.0,6869.0,27115.0,1.0,22.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,13.0,11.0,1.0,8.0,274,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Yes,No
48.0,1233.0,6.0,4.0,1.0,2148.0,1.0,101.0,3.0,2.0,4.0,6403.0,21793.0,4.0,22.0,4.0,3.0,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,7.0,22,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,Yes,No
51.0,385.0,4.0,2.0,1.0,2149.0,3.0,52.0,2.0,2.0,1.0,5545.0,24206.0,4.0,25.0,4.0,1.0,80.0,1.0,10.0,3.0,3.0,4.0,2.0,1.0,2.0,333,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,Yes,No
45.0,982.0,28.0,3.0,1.0,2150.0,2.0,101.0,3.0,2.0,2.0,5235.0,13853.0,1.0,14.0,3.0,4.0,80.0,1.0,10.0,3.0,2.0,9.0,7.0,6.0,7.0,115,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,No
37.0,991.0,9.0,3.0,1.0,2151.0,4.0,91.0,3.0,3.0,4.0,8784.0,8052.0,0.0,13.0,3.0,4.0,80.0,1.0,10.0,0.0,2.0,9.0,7.0,1.0,6.0,963,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,No
37.0,259.0,3.0,3.0,1.0,2152.0,3.0,91.0,3.0,2.0,1.0,5326.0,8553.0,0.0,13.0,3.0,4.0,80.0,0.0,5.0,3.0,3.0,4.0,2.0,0.0,2.0,258,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Yes,No
50.0,1466.0,19.0,4.0,1.0,2153.0,4.0,59.0,3.0,1.0,3.0,3337.0,8097.0,4.0,18.0,3.0,1.0,80.0,1.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,986,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Yes,Yes
30.0,1341.0,20.0,3.0,1.0,2154.0,1.0,47.0,3.0,1.0,3.0,3440.0,20808.0,1.0,21.0,4.0,3.0,80.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,309,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,Yes,Yes
46.0,971.0,23.0,3.0,1.0,2155.0,4.0,52.0,3.0,1.0,3.0,4124.0,21311.0,3.0,22.0,4.0,4.0,80.0,1.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,695,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Yes,No
41.0,1213.0,2.0,3.0,1.0,2156.0,4.0,94.0,3.0,2.0,4.0,5498.0,12071.0,6.0,16.0,3.0,4.0,80.0,1.0,18.0,4.0,4.0,13.0,10.0,2.0,8.0,346,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Single,Yes,Yes
30.0,1443.0,22.0,3.0,1.0,2157.0,3.0,56.0,2.0,2.0,4.0,4994.0,22704.0,6.0,20.0,3.0,3.0,80.0,1.0,6.0,2.0,2.0,3.0,2.0,0.0,0.0,180,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,Yes
