EmployeeNumber,Gender,Education,EducationField,Department,JobRole,JobLevel,PerformanceRating,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,BusinessTravel,OverTime,WorkLifeBalance,MaritalStatus,StockOptionLevel,Age,DistanceFromHome,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
17,Female,Bachelor,Medical,Sales,Sales Executive,L3,Medium,Medium,Medium,Very High,Very High,Travel Never,Never,Better,Single,L0,45,6,8865,1052,57,16840,6,12,23,2,19,7,12,8,No
18,Female,Master,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Frequently,Better,Married,L1,35,23,4014,1142,30,16002,3,15,4,3,2,2,2,2,No
19,Female,Below College,Medical,Sales,Sales Executive,L2,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Married,L2,24,4,4162,1476,42,15211,1,12,5,3,5,4,0,3,No
20,Female,Master,Technical Degree,Human Resources,Human Resources,L1,High,High,High,Very High,Low,Travel Rarely,Never,Better,Married,L0,34,9,2742,1107,52,3072,1,15,2,0,2,2,2,2,Yes
21,Male,Master,Life Sciences,Research & Development,Research Director,L4,High,High,High,Medium,Low,Travel Frequently,Frequently,Better,Married,L0,58,15,15787,1216,87,21624,2,14,23,3,2,2,2,2,No
22,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Single,L0,35,27,5813,303,84,13492,1,18,10,2,10,7,7,7,Yes
23,Female,College,Life Sciences,Research & Development,Research Director,L3,High,High,High,Very High,High,Travel Rarely,Never,Better,Single,L0,32,3,11159,1018,39,19373,3,15,10,6,7,7,7,7,No
24,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L2,Low,Low,Low,Very High,Low,Travel Frequently,Frequently,Better,Single,L0,34,7,6074,658,66,22887,1,24,9,3,9,7,0,6,Yes
25,Male,Bachelor,Life Sciences,Research & Development,Healthcare Representative,L2,Very High,Very High,Very High,Low,Medium,Travel Rarely,Never,Bad,Single,L0,41,5,6870,447,85,15530,3,12,11,3,3,2,1,2,No
26,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Medium,Travel Rarely,Never,Better,Divorced,L2,34,10,2008,546,83,6896,1,14,1,3,1,0,1,0,No
27,Female,College,Other,Sales,Sales Executive,L2,High,High,High,Medium,Low,Travel Rarely,Frequently,Good,Divorced,L1,25,8,4907,1382,85,13684,0,22,6,3,5,3,0,4,No
28,Male,Below College,Life Sciences,Sales,Sales Executive,L3,Medium,Medium,Medium,Low,High,Travel Rarely,Frequently,Better,Married,L1,36,3,10325,530,51,5518,1,11,16,6,16,7,3,7,Yes
29,Male,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Never,Good,Single,L0,44,20,3420,1467,49,21158,1,13,6,3,5,2,1,3,No
30,Female,College,Other,Research & Development,Manager,L4,High,High,High,High,High,Travel Rarely,Frequently,Good,Married,L1,47,2,16752,202,33,12982,1,11,26,3,26,14,3,0,No
31,Male,Master,Other,Research & Development,Laboratory Technician,L1,Low,Low,Low,Very High,Medium,Travel Rarely,Frequently,Good,Married,L0,29,8,2119,318,77,4759,1,11,7,4,7,7,0,7,Yes
32,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
33,Female,Bachelor,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Rarely,Never,Better,Single,L0,33,16,5324,118,69,26507,5,15,6,3,3,2,0,2,Yes
34,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Frequently,Frequently,Good,Married,L3,37,9,2326,889,53,11411,1,12,4,3,4,2,1,2,No
35,Male,Doctor,Marketing,Sales,Sales Executive,L2,Medium,Medium,Medium,Medium,Medium,Travel Rarely,Frequently,Better,Divorced,L3,36,13,6134,1456,96,8658,5,13,16,3,2,2,2,2,Yes
36,Female,College,Medical,Sales,Sales Representative,L1,High,High,High,Medium,High,Travel Frequently,Never,Better,Married,L1,37,21,2973,1231,54,21222,5,15,10,3,5,4,0,0,No
37,Male,Doctor,Medical,Research & Development,Manufacturing Director,L2,High,High,High,Very High,Medium,Travel Rarely,Never,Better,Married,L3,39,10,5377,1387,76,3835,2,13,10,3,7,7,7,7,No
38,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
39,Female,College,Medical,Research & Development,Healthcare Representative,L2,Low,Low,Low,Low,Low,Travel Rarely,Never,Bad,Married,L0,37,11,4777,1141,61,14382,5,15,15,2,1,0,0,0,Yes
40,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L2,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Never,Better,Married,L1,35,1,5363,817,60,10846,0,12,10,0,9,7,0,0,No
41,Male,Master,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,High,Low,Travel Rarely,Frequently,Best,Married,L3,51,4,2461,1323,34,10332,9,12,18,2,10,0,2,7,Yes
42,Female,Below College,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Rarely,Frequently,Good,Married,L0,28,12,2515,1485,79,22955,1,11,1,4,1,1,0,0,Yes
43,Male,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Medium,High,Travel Rarely,Never,Good,Married,L0,51,1,2723,833,96,23231,1,11,1,0,1,0,0,0,No
44,Male,Below College,Human Resources,Human Resources,Human Resources,L1,Low,Low,Low,High,Very High,Travel Rarely,Never,Better,Married,L1,24,22,1555,240,58,11585,1,11,1,2,1,0,0,0,Yes
45,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,Medium,Medium,Medium,Very High,Medium,Travel Rarely,Never,Better,Married,L1,30,1,9714,740,64,5323,1,11,10,4,10,8,6,7,Yes
46,Male,Bachelor,Medical,Research & Development,Manager,L3,High,High,High,Medium,High,Travel Rarely,Never,Best,Single,L0,32,10,11244,495,64,21072,2,25,10,5,5,2,0,0,No
47,Male,Master,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,Medium,High,Travel Rarely,Never,Better,Single,L0,36,9,3407,1218,82,6986,7,23,10,4,5,3,0,3,Yes
48,Male,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Married,L3,35,17,8966,1361,94,21026,3,15,15,2,7,7,1,7,No
49,Female,Bachelor,Life Sciences,Sales,Sales Executive,L3,High,High,High,Very High,Low,Travel Rarely,Never,Good,Single,L0,59,25,7637,1435,99,2354,7,11,28,3,21,16,7,9,No
50,Male,Bachelor,Medical,Research & Development,Manufacturing Director,L3,Medium,Medium,Medium,High,Very High,Travel Rarely,Frequently,Better,Married,L0,52,3,7969,319,39,19609,2,14,28,4,5,4,0,4,No
51,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
52,Male,College,Marketing,Sales,Sales Representative,L1,Medium,Medium,Medium,High,High,Travel Rarely,Frequently,Better,Married,L3,25,19,2413,867,36,18798,1,18,1,2,1,0,0,0,Yes
53,Female,Master,Life Sciences,Sales,Manager,L5,High,High,High,Very High,High,Travel Rarely,Never,Better,Married,L0,40,2,18041,1398,79,13022,0,14,21,2,20,15,1,12,No
54,Female,College,Medical,Sales,Sales Representative,L1,High,High,High,High,Very High,Travel Frequently,Frequently,Better,Married,L2,48,7,2655,708,95,11740,2,11,19,3,9,7,7,7,Yes
55,Male,Below College,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Better,Single,L0,34,6,2960,699,83,17102,2,11,8,2,4,2,1,3,Yes
56,Female,Below College,Life Sciences,Sales,Sales Executive,L3,Medium,Medium,Medium,Low,Very High,Travel Rarely,Never,Bad,Married,L1,29,23,7336,408,45,11162,1,13,11,3,11,8,3,10,Yes
57,Male,Master,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Very High,Travel Never,Never,Better,Married,L1,52,19,4258,715,41,26589,0,18,5,3,4,3,1,2,No
58,Female,Master,Other,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Never,Bad,Married,L0,52,8,2950,258,54,17363,9,13,12,2,5,4,0,4,No
59,Female,Bachelor,Medical,Research & Development,Healthcare Representative,L4,High,High,High,High,Very High,Travel Rarely,Never,Better,Single,L0,51,3,13734,313,98,7192,3,18,21,6,7,7,1,0,No
60,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Frequently,Bad,Married,L1,33,14,2436,813,58,22149,5,13,8,2,5,4,0,4,Yes
61,Male,Below College,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Better,Single,L0,34,6,2960,699,83,17102,2,11,8,2,4,2,1,3,Yes
62,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Low,Medium,Travel Frequently,Never,Better,Single,L0,30,5,2422,109,60,25725,0,17,4,3,3,2,1,2,Yes
63,Male,College,Medical,Sales,Sales Executive,L3,Medium,Medium,Medium,Medium,Medium,Travel Rarely,Never,Better,Married,L2,36,2,7596,164,61,3809,1,13,10,2,10,9,9,0,No
64,Male,Master,Life Sciences,Sales,Sales Representative,L1,High,High,High,Medium,Low,Travel Never,Never,Good,Divorced,L2,52,29,3482,585,40,19788,2,15,16,3,9,8,0,0,No
65,Male,Bachelor,Life Sciences,Sales,Sales Executive,L3,High,High,High,High,Low,Travel Rarely,Never,Good,Divorced,L2,38,3,10609,119,76,9647,0,12,17,6,16,10,5,13,No
66,Male,Master,Medical,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Never,Better,Married,L1,35,1,2258,982,58,16340,6,12,10,2,8,0,1,7,No
67,Male,Master,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Frequently,Frequently,Better,Married,L0,31,26,5617,754,63,21075,1,11,10,4,10,7,0,8,Yes
68,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Never,Bad,Married,L1,37,10,3936,1470,71,9953,1,11,8,2,8,4,7,7,No
69,Female,Bachelor,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,High,High,Travel Frequently,Never,Best,Single,L0,31,2,2785,703,90,11882,7,14,3,3,1,0,0,0,Yes
70,Female,Master,Life Sciences,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,High,High,Travel Rarely,Never,Better,Single,L0,36,16,2743,885,43,8269,1,16,18,1,17,13,15,14,Yes
71,Female,Doctor,Life Sciences,Sales,Manager,L4,High,High,High,Very High,Low,Travel Rarely,Never,Better,Single,L0,55,18,16835,1117,83,9873,3,23,37,2,10,9,7,7,No
72,Male,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Medium,Travel Frequently,Never,Better,Divorced,L2,50,1,6728,878,94,14255,7,12,12,3,6,3,0,1,Yes
73,Male,Bachelor,Medical,Research & Development,Research Director,L5,Medium,Medium,Medium,Low,High,Travel Rarely,Never,Best,Single,L0,40,14,19626,1308,44,17544,1,14,21,2,20,7,4,9,No
74,Male,Doctor,Medical,Research & Development,Research Director,L4,Low,Low,Low,Very High,High,Travel Frequently,Frequently,Better,Single,L0,50,22,14411,333,88,24450,1,13,32,2,32,6,13,9,No
75,Male,Bachelor,Technical Degree,Sales,Sales Representative,L1,Very High,Very High,Very High,Very High,High,Travel Frequently,Never,Better,Single,L0,29,24,1091,746,45,10642,1,17,1,3,1,0,0,0,Yes
76,Male,Bachelor,Medical,Research & Development,Manager,L5,High,High,High,Very High,Very High,Travel Rarely,Frequently,Better,Married,L1,55,2,19859,725,78,21199,5,13,24,2,5,2,1,4,Yes
77,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Single,L0,35,27,5813,303,84,13492,1,18,10,2,10,7,7,7,Yes
78,Male,Below College,Technical Degree,Research & Development,Manufacturing Director,L2,High,High,High,Low,Very High,Travel Never,Never,Better,Married,L1,29,1,4319,1496,41,26283,1,13,10,1,10,7,0,9,No
79,Female,College,Life Sciences,Research & Development,Research Scientist,L2,High,High,High,High,Low,Travel Rarely,Never,Good,Married,L2,54,9,2897,155,67,22474,3,11,9,6,4,3,2,3,No
80,Male,Doctor,Life Sciences,Research & Development,Laboratory Technician,L1,Low,Low,Low,Very High,Low,Travel Never,Never,Better,Married,L3,27,8,4621,1277,87,5869,1,19,3,4,3,2,1,2,No
81,Female,Below College,Other,Research & Development,Research Scientist,L1,High,High,High,Low,Very High,Travel Rarely,Never,Good,Single,L0,21,18,2693,1427,65,8870,1,19,1,3,1,0,0,0,Yes
82,Female,College,Life Sciences,Research & Development,Research Scientist,L1,Low,Low,Low,Very High,Low,Travel Rarely,Frequently,Better,Single,L0,28,1,2216,654,67,3872,7,13,10,4,7,7,3,7,Yes
83,Male,Bachelor,Technical Degree,Sales,Sales Executive,L3,Medium,Medium,Medium,Very High,Very High,Travel Rarely,Frequently,Better,Married,L0,34,1,7083,971,64,12288,1,14,10,3,10,9,8,6,No
84,Male,College,Marketing,Sales,Sales Representative,L1,Medium,Medium,Medium,High,High,Travel Rarely,Frequently,Better,Married,L3,25,19,2413,867,36,18798,1,18,1,2,1,0,0,0,Yes
85,Male,Bachelor,Life Sciences,Human Resources,Human Resources,L1,High,High,High,Medium,Medium,Travel Rarely,Never,Better,Single,L0,43,2,3539,244,97,5033,0,13,10,5,9,7,1,8,No
86,Male,Bachelor,Life Sciences,Sales,Sales Executive,L3,High,High,High,Very High,Very High,Travel Frequently,Never,Better,Single,L0,27,8,8726,994,37,2975,1,15,9,0,9,8,1,7,No
87,Male,College,Life Sciences,Research & Development,Manufacturing Director,L3,High,High,High,High,Very High,Travel Frequently,Never,Good,Divorced,L2,27,10,8793,294,32,4809,1,21,9,4,9,7,1,7,No
88,Male,Bachelor,Life Sciences,Research & Development,Research Scientist,L3,High,High,High,High,Medium,Travel Rarely,Never,Better,Divorced,L1,45,7,9724,1339,59,18787,2,17,25,2,1,0,0,0,No
89,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,High,Travel Rarely,Never,Better,Single,L0,39,23,3904,360,93,22154,0,13,6,2,5,2,0,3,Yes
90,Female,Master,Medical,Research & Development,Healthcare Representative,L3,Medium,Medium,Medium,High,Low,Travel Frequently,Never,Good,Single,L0,51,1,7484,1456,30,25796,3,20,23,1,13,12,12,8,No
91,Male,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,Medium,Very High,Travel Rarely,Never,Good,Single,L0,28,1,2080,640,84,4732,2,11,5,2,3,2,1,2,No
92,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Never,Bad,Married,L1,37,10,3936,1470,71,9953,1,11,8,2,8,4,7,7,No
93,Male,Master,Medical,Research & Development,Healthcare Representative,L2,High,High,High,High,Medium,Travel Frequently,Never,Better,Single,L0,45,1,5399,1297,44,14511,4,12,12,3,4,2,0,3,No
94,Female,Master,Medical,Research & Development,Healthcare Representative,L3,High,High,High,Very High,Very High,Travel Rarely,Never,Good,Married,L1,58,23,10312,147,94,3465,1,12,40,3,40,10,15,6,Yes
95,Male,Bachelor,Technical Degree,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Low,Travel Rarely,Never,Better,Single,L0,20,4,2973,129,84,13008,1,19,1,2,1,0,0,0,Yes
96,Male,College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,Very High,Travel Frequently,Never,Good,Single,L0,36,3,2088,1480,30,15062,4,12,13,3,8,7,7,2,No
97,Female,College,Medical,Sales,Sales Executive,L2,High,High,High,Low,Medium,Travel Rarely,Never,Good,Married,L1,29,3,5561,1176,62,3487,1,14,6,5,6,0,1,2,No
98,Female,Bachelor,Other,Research & Development,Manufacturing Director,L2,High,High,High,Low,High,Travel Rarely,Never,Better,Married,L1,36,1,5228,676,35,23361,0,15,10,2,9,7,0,5,No
99,Female,Below College,Life Sciences,Sales,Sales Representative,L1,High,High,High,High,High,Travel Never,Never,Better,Divorced,L3,32,2,2827,862,76,14947,1,12,1,3,1,0,0,0,No
100,Female,Bachelor,Life Sciences,Human Resources,Human Resources,L1,High,High,High,Low,High,Travel Rarely,Frequently,Better,Divorced,L3,44,1,3195,528,44,4167,4,18,8,2,2,2,2,2,No
101,Male,Master,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Medium,Travel Frequently,Never,Best,Married,L1,30,12,2033,448,74,14470,1,18,1,2,1,0,0,0,Yes
102,Female,Doctor,Medical,Research & Development,Laboratory Technician,L2,Low,Low,Low,Low,High,Travel Rarely,Frequently,Better,Single,L0,45,5,5769,1015,50,23447,1,14,10,3,10,7,1,4,No
103,Male,Master,Life Sciences,Sales,Sales Executive,L2,Low,Low,Low,Medium,Medium,Travel Rarely,Frequently,Good,Married,L0,31,6,6172,249,76,20739,4,18,12,3,7,7,7,7,Yes
104,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Very High,High,Travel Never,Never,Better,Single,L0,44,5,3162,981,90,7973,3,14,7,5,5,2,0,3,No
105,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,Low,Low,Low,Low,Low,Travel Rarely,Never,Better,Divorced,L3,33,10,3408,587,38,6705,7,13,8,2,4,3,1,3,Yes
106,Male,Bachelor,Technical Degree,Sales,Sales Representative,L1,High,High,High,Very High,Low,Travel Frequently,Never,Best,Married,L1,28,1,2909,1496,92,15747,3,15,5,3,3,2,1,2,Yes
107,Male,Below College,Medical,Research & Development,Manager,L3,High,High,High,Very High,Medium,Travel Rarely,Frequently,Best,Married,L0,33,15,13610,1277,56,24619,7,12,15,2,7,6,7,7,Yes
108,Male,College,Life Sciences,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Low,Low,Travel Never,Never,Bad,Divorced,L1,41,5,2107,906,95,20293,6,17,5,2,1,0,0,0,Yes
109,Male,Bachelor,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Frequently,Never,Better,Single,L0,41,4,9355,143,56,9558,1,18,8,5,8,7,7,7,Yes
110,Male,Below College,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Better,Single,L0,34,6,2960,699,83,17102,2,11,8,2,4,2,1,3,Yes
111,Female,Master,Marketing,Sales,Sales Executive,L2,High,High,High,Low,Low,Travel Rarely,Frequently,Better,Single,L0,33,9,8224,603,77,18385,0,17,6,3,5,2,0,3,Yes
112,Male,Below College,Life Sciences,Research & Development,Healthcare Representative,L3,Medium,Medium,Medium,Very High,High,Travel Never,Never,Good,Married,L1,45,1,10748,1238,74,3395,3,23,25,3,23,15,14,4,No
113,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Low,Travel Never,Frequently,Best,Single,L0,19,10,1859,504,96,6148,1,25,1,2,1,1,0,0,Yes
114,Male,Master,Medical,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Never,Better,Married,L1,35,1,2258,982,58,16340,6,12,10,2,8,0,1,7,No
115,Male,Master,Medical,Research & Development,Laboratory Technician,L2,Medium,Medium,Medium,Very High,Low,Travel Frequently,Never,Better,Single,L0,40,16,5094,720,51,11983,6,14,10,6,1,0,0,0,No
116,Male,Below College,Medical,Research & Development,Healthcare Representative,L2,High,High,High,Medium,Medium,Travel Rarely,Frequently,Better,Married,L0,38,29,6673,1180,70,11354,7,19,17,2,1,0,0,0,Yes
117,Female,Below College,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,High,Low,Travel Frequently,Never,Better,Divorced,L2,26,1,2007,921,66,25265,1,13,5,5,5,3,1,3,No
118,Female,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Medium,High,Travel Never,Never,Best,Married,L2,45,2,5154,589,67,19665,4,22,10,3,8,7,5,7,No
119,Male,College,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Low,High,Travel Never,Frequently,Better,Single,L0,31,9,2321,335,46,10322,0,22,4,0,3,2,1,2,Yes
120,Female,College,Medical,Sales,Sales Representative,L1,High,High,High,High,Very High,Travel Frequently,Frequently,Better,Married,L2,48,7,2655,708,95,11740,2,11,19,3,9,7,7,7,Yes
121,Male,Master,Marketing,Sales,Sales Executive,L2,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Frequently,Better,Single,L0,26,4,5828,950,48,8450,1,12,8,0,8,7,7,4,Yes
122,Male,Below College,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Very High,Very High,Travel Frequently,Frequently,Good,Divorced,L1,58,2,2380,781,57,13384,9,14,3,3,1,0,0,0,Yes
123,Female,College,Other,Sales,Sales Executive,L2,High,High,High,Low,Low,Travel Rarely,Never,Good,Married,L1,24,3,4999,1353,33,17519,0,21,4,2,3,2,0,2,No
124,Female,Bachelor,Medical,Sales,Sales Representative,L1,Medium,Medium,Medium,Very High,High,Travel Rarely,Never,Good,Single,L0,20,2,2044,500,49,22052,1,13,2,3,2,2,0,2,Yes
125,Female,Bachelor,Technical Degree,Research & Development,Healthcare Representative,L3,High,High,High,Medium,High,Travel Rarely,Never,Better,Divorced,L3,36,8,10096,1223,59,8202,1,13,17,2,17,14,12,8,No
126,Female,Master,Other,Research & Development,Research Scientist,L2,High,High,High,Very High,Very High,Travel Rarely,Frequently,Better,Married,L1,36,2,6962,430,73,19573,4,22,15,2,1,0,0,0,No
127,Male,Bachelor,Other,Research & Development,Manufacturing Director,L3,High,High,High,High,High,Travel Rarely,Never,Better,Married,L1,37,3,9434,482,36,9606,1,15,10,2,10,7,7,8,No
128,Male,College,Life Sciences,Sales,Sales Executive,L2,Low,Low,Low,Medium,Low,Travel Rarely,Never,Better,Single,L0,32,1,6735,964,34,12147,6,15,10,2,0,0,0,0,Yes
129,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Very High,Travel Rarely,Frequently,Good,Divorced,L1,49,16,2587,464,74,24941,4,16,17,2,2,2,2,2,No
130,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Single,L0,35,27,5813,303,84,13492,1,18,10,2,10,7,7,7,Yes
131,Male,Below College,Medical,Research & Development,Research Scientist,L1,High,High,High,High,High,Travel Rarely,Never,Better,Single,L0,21,5,3117,546,97,26009,1,18,3,2,2,2,2,2,No
132,Female,Bachelor,Marketing,Sales,Sales Executive,L4,High,High,High,Very High,High,Travel Frequently,Never,Best,Married,L1,42,26,13525,555,77,14864,5,14,23,2,20,4,4,8,No
133,Female,Below College,Other,Research & Development,Healthcare Representative,L3,High,High,High,Low,High,Travel Frequently,Frequently,Better,Single,L0,29,14,7553,337,84,22930,0,12,9,1,8,7,7,7,Yes
134,Female,Bachelor,Marketing,Sales,Sales Executive,L2,High,High,High,High,High,Travel Rarely,Never,Better,Married,L1,41,8,4393,337,54,26841,5,21,14,3,5,4,1,4,No
135,Male,Master,Medical,Sales,Sales Executive,L3,Low,Low,Low,High,Very High,Travel Rarely,Never,Good,Married,L0,32,4,10400,1045,32,25812,1,11,14,2,14,8,9,8,Yes
136,Female,Master,Medical,Research & Development,Research Scientist,L2,Very High,Very High,Very High,Very High,Medium,Travel Rarely,Frequently,Better,Married,L0,42,7,2372,603,78,5628,6,16,18,2,1,0,0,0,No
